Date,Open,High,Low,Close,SharesTraded,
19980102 00:00,394400,396900,380600,391300,1480700,
19980105 00:00,398100,398800,390000,397500,2107900,
19980106 00:00,391300,400600,390000,399400,3280300,
19980107 00:00,397500,400600,393800,400000,2547400,
19980108 00:00,400000,401900,390600,393800,2404300,
19980109 00:00,393800,394400,380600,381900,2993100,
19980112 00:00,375600,397500,375600,395000,4328200,
19980113 00:00,396900,397500,385600,394400,2717100,
19980114 00:00,396900,398100,391300,397500,3151200,
19980115 00:00,397500,399400,391300,398800,2015800,
19980116 00:00,401900,404400,398800,400600,3237100,
19980120 00:00,395600,419400,395600,416900,3786900,
19980121 00:00,410600,413100,400000,405000,3003800,
19980122 00:00,401300,403800,393800,399400,2913900,
19980123 00:00,401300,401900,387500,394400,2469900,
19980126 00:00,394400,396900,381300,387500,2114700,
19980127 00:00,390000,400600,388100,393100,2828700,
19980128 00:00,395000,406300,395000,405600,2904300,
19980129 00:00,406300,415000,400000,401900,2482600,
19980130 00:00,402500,406900,397500,399400,1738200,
19980202 00:00,409400,410600,400600,408100,2850600,
19980203 00:00,406300,423800,405000,421300,4335800,
19980204 00:00,418100,433800,416900,431300,4090800,
19980205 00:00,435000,438800,423800,427500,4443700,
19980206 00:00,430600,431900,426900,430000,2086000,
19980209 00:00,431900,431900,423800,425000,2266100,
19980210 00:00,430000,433100,428800,431300,2957000,
19980211 00:00,431900,431900,428100,429400,1253500,
19980212 00:00,428800,446900,426300,446300,2816800,
19980213 00:00,440000,444400,432500,441300,2305400,
19980217 00:00,445000,450000,445000,447500,1917900,
19980218 00:00,449400,456300,446300,455000,2413100,
19980219 00:00,455000,455000,444400,451900,2156700,
19980220 00:00,453100,454400,443100,453100,2837300,
19980223 00:00,460000,461900,454400,461300,2951700,
19980224 00:00,468800,473100,465000,468800,4026400,
19980225 00:00,476300,479400,474400,476900,2704200,
19980226 00:00,475600,475600,464400,472500,2369000,
19980227 00:00,471900,471900,461300,462500,2471800,
19980302 00:00,466900,472500,465000,469400,3200000,
19980303 00:00,468100,483800,466300,483800,2999200,
19980304 00:00,486900,488100,483800,485600,2582000,
19980305 00:00,480600,500000,480000,490000,5503200,
19980306 00:00,500600,502500,498100,502500,3933500,
19980309 00:00,503100,521900,501900,512500,3851700,
19980310 00:00,521300,522500,508100,510000,3787600,
19980311 00:00,513100,517500,506900,509400,3207700,
19980312 00:00,511900,516900,510600,513100,2401100,
19980313 00:00,513800,516900,508800,513800,3088200,
19980316 00:00,515600,516300,508800,515000,2147800,
19980317 00:00,519400,520000,510600,513800,2131500,
19980318 00:00,516900,516900,503100,507500,2386600,
19980319 00:00,506900,509400,499400,503800,2104700,
19980320 00:00,504400,505600,495600,498800,3985700,
19980323 00:00,493100,498100,493100,495000,2723200,
19980324 00:00,495000,505600,493800,503100,2307800,
19980325 00:00,505000,507500,487500,495000,3267500,
